date,product_id,warehouse_id,stock_on_hand,stock_received,stock_sold
2024-01-01,96,1,55,32,39
2024-01-01,100,1,46,43,28
2024-01-01,7,1,301,30,1
2024-01-01,116,1,249,49,34
2024-01-01,88,1,274,16,25
2024-01-01,132,1,112,28,25
2024-01-01,35,1,242,33,6
2024-01-01,72,1,275,49,10
2024-01-01,108,1,196,20,35
2024-01-01,129,1,55,34,34
2024-01-01,150,1,94,17,38
2024-01-01,27,1,210,23,22
2024-01-01,93,1,282,31,36
2024-01-01,85,1,334,48,12
2024-01-01,11,1,282,24,34
2024-01-01,44,1,265,48,19
2024-01-01,79,1,215,21,12
2024-01-01,31,1,235,18,35
2024-01-01,38,1,291,18,11
2024-01-01,136,1,204,6,27
2024-01-01,113,1,175,30,18
2024-01-01,82,1,14,4,34
2024-01-01,84,1,57,20,35
2024-01-01,144,1,83,22,15
2024-01-01,125,1,242,38,38
2024-01-01,143,1,204,4,34
2024-01-01,77,1,183,28,10
2024-01-01,41,1,63,46,11
2024-01-01,146,1,265,9,16
2024-01-01,126,1,224,37,6
2024-01-01,2,1,162,12,39
2024-01-01,4,1,123,8,26
2024-01-01,140,1,45,1,4
2024-01-01,10,1,154,36,37
2024-01-01,73,1,211,47,0
2024-01-01,46,1,133,6,24
2024-01-01,33,1,301,35,5
2024-01-01,128,1,213,30,18
2024-01-01,74,1,233,38,26
2024-01-01,21,1,65,25,18
2024-01-01,119,1,251,2,12
2024-01-01,69,1,28,27,19
2024-01-01,95,1,199,2,12
2024-01-01,56,1,160,48,24
2024-01-01,112,1,166,5,31
2024-01-01,81,1,125,46,20
2024-01-01,78,1,281,20,10
2024-01-01,28,1,247,36,35
2024-01-01,121,1,65,18,19
2024-01-01,59,1,189,40,13
2024-01-01,134,2,77,28,31
2024-01-01,70,2,22,18,20
2024-01-01,108,2,179,17,27
2024-01-01,130,2,21,21,20
2024-01-01,124,2,58,4,11
2024-01-01,64,2,257,33,13
2024-01-01,19,2,110,44,26
2024-01-01,75,2,262,25,21
2024-01-01,139,2,58,29,16
2024-01-01,93,2,62,35,0
2024-01-01,84,2,286,48,34
2024-01-01,7,2,26,14,21
2024-01-01,9,2,95,25,27
